user,employee_name,department,role,login_time,logout_time,session_duration_hrs,source_ip,location,auth_method,success,is_weekend
EMP-1001,Mark Edwards,Engineering,QA Engineer,2024-01-01 10:39:14.694821,2024-01-01 17:24:51.238190,6.76,10.179.109.88,Office-London,MFA,1,0
EMP-1002,Margaret Ross,Finance,Finance Manager,2024-01-01 09:07:20.788500,2024-01-01 19:42:05.639820,10.58,10.25.92.217,HQ-NewYork,SSO,1,0
EMP-1003,Jennifer Sanders,Human Resources,Benefits Coordinator,2024-01-01 09:08:47.248709,2024-01-01 14:30:51.496495,5.37,10.21.142.76,Office-Berlin,MFA,1,0
EMP-1004,Alexander Rodriguez,Sales,Sales Rep,2024-01-01 09:11:29.085568,2024-01-01 17:35:59.514650,8.41,10.253.21.219,Remote,SSO,1,0
EMP-1005,Timothy Scott,Legal,Legal Manager,2024-01-01 09:55:44.277553,2024-01-01 16:46:49.590896,6.85,10.95.91.54,Remote,certificate,0,0
EMP-1006,Nicole Brooks,IT Security,SOC Analyst,2024-01-01 08:46:27.713225,2024-01-01 19:09:46.306159,10.39,10.119.98.70,Office-Berlin,password,1,0
EMP-1007,Dennis Jimenez,Executive,CEO,2024-01-01 09:10:46.047662,2024-01-01 16:55:01.927629,7.74,10.103.69.17,Office-SanFrancisco,certificate,1,0
EMP-1008,Margaret Wood,Research & Development,Lab Technician,2024-01-01 10:29:00.876007,2024-01-01 16:07:45.357823,5.65,10.68.36.64,Office-Bangalore,certificate,1,0
EMP-1009,Justin Phillips,Marketing,Marketing Manager,2024-01-01 06:47:09.980600,2024-01-01 12:32:39.487463,5.76,10.127.24.194,Office-SanFrancisco,password,1,0
EMP-1010,Karen Watson,Operations,Project Manager,2024-01-01 10:22:21.194732,2024-01-01 20:38:24.845183,10.27,10.17.99.98,Remote,MFA,1,0
EMP-1011,Stephen Johnson,Engineering,Software Engineer,2024-01-01 07:27:30.043576,2024-01-01 15:44:00.959961,8.28,10.197.165.88,Remote,password,1,0
EMP-1012,Sharon Lee,Finance,Controller,2024-01-01 06:39:38.727164,2024-01-01 11:36:58.455771,4.96,10.196.46.130,HQ-NewYork,SSO,1,0
EMP-1013,Samantha Cook,Human Resources,HR Director,2024-01-01 07:01:10.452089,2024-01-01 16:25:11.434944,9.4,10.196.42.139,Office-SanFrancisco,MFA,1,0
EMP-1014,Gary Williams,Sales,Sales Rep,2024-01-01 06:21:17.632600,2024-01-01 13:17:02.918508,6.93,10.15.62.225,Office-London,MFA,1,0
EMP-1015,Janet Morales,Legal,Legal Counsel,2024-01-01 08:43:43.022754,2024-01-01 15:12:56.390783,6.49,10.169.122.243,Office-Berlin,certificate,1,0
EMP-1016,Shirley Cox,IT Security,CISO,2024-01-01 09:36:45.459560,2024-01-01 18:55:06.499134,9.31,10.177.52.183,Office-SanFrancisco,certificate,1,0
EMP-1017,Christine Wood,Executive,COO,2024-01-01 08:51:07.181616,2024-01-01 17:00:43.048347,8.16,10.31.64.58,Office-Bangalore,SSO,1,0
EMP-1018,Robert Ramos,Research & Development,R&D Manager,2024-01-01 07:39:42.177780,2024-01-01 17:01:04.947826,9.36,10.19.182.162,Office-SanFrancisco,SSO,1,0
EMP-1019,David Jones,Marketing,Marketing Manager,2024-01-01 08:33:45.891134,2024-01-01 17:05:01.714646,8.52,10.72.172.125,HQ-NewYork,SSO,1,0
EMP-1020,Patrick Kelly,Operations,Logistics Coordinator,2024-01-01 06:49:11.242361,2024-01-01 15:57:43.425528,9.14,10.207.105.49,Office-Bangalore,certificate,1,0
EMP-1021,Raymond Parker,Engineering,Engineering Manager,2024-01-01 05:54:06.631771,2024-01-01 11:46:15.206533,5.87,10.222.187.14,Office-Bangalore,password,1,0
