sender,recipient,time,keyword_flag,suspicious_keyword_count,exfil_flag,subject_len,sentiment,caps_ratio,is_external,has_attachment,attachment_size_bytes
linda.perez@acmecorp.com,anna.reyes@acmecorp.com,2024-01-01 08:25:00,0,0,0,23,0,0.13,0,0,0
edward.miller@acmecorp.com,sharon.sanders@acmecorp.com,2024-01-01 16:15:00,0,0,0,16,0,0.125,0,0,0
anthony.mendoza@acmecorp.com,sharon.rodriguez@acmecorp.com,2024-01-01 18:16:00,0,0,0,20,0,0.1,0,1,1624955
angela.hernandez@acmecorp.com,stephanie.morales@acmecorp.com,2024-01-01 16:09:00,0,0,0,11,0,0.182,0,0,0
stephanie.morales@acmecorp.com,anna.reyes@acmecorp.com,2024-01-01 17:56:00,0,0,0,23,0,0.13,0,0,0
kathleen.cruz@acmecorp.com,elizabeth.mendoza@acmecorp.com,2024-01-01 15:53:00,0,0,0,11,0,0.182,0,0,0
donald.taylor@acmecorp.com,angela.hernandez@acmecorp.com,2024-01-01 16:05:00,0,0,0,29,0,0.103,0,0,0
emily.foster@acmecorp.com,rachel.foster@acmecorp.com,2024-01-01 12:57:00,0,0,0,16,0,0.125,0,0,0
rachel.foster@acmecorp.com,karen.watson@acmecorp.com,2024-01-01 16:08:00,0,0,0,20,0,0.15,0,0,0
alexander.rodriguez@acmecorp.com,cynthia.cruz@acmecorp.com,2024-01-01 13:06:00,0,0,0,11,0,0.182,0,1,4537807
cynthia.cruz@acmecorp.com,kimberly.james@acmecorp.com,2024-01-01 07:47:00,0,0,0,23,0,0.13,0,0,0
paul.lee@acmecorp.com,david.cook@acmecorp.com,2024-01-01 18:39:00,0,0,0,20,0,0.15,0,0,0
deborah.kelly@acmecorp.com,contact116@gmail.com,2024-01-01 19:33:00,0,0,0,19,0,0.158,1,0,0
karen.watson@acmecorp.com,melissa.howard@acmecorp.com,2024-01-01 15:58:00,0,0,0,21,0,0.143,0,0,0
samantha.cook@acmecorp.com,christine.peterson@acmecorp.com,2024-01-01 07:04:00,0,0,0,21,0,0.19,0,0,0
raymond.parker@acmecorp.com,michael.bailey@acmecorp.com,2024-01-01 11:55:00,0,0,0,11,0,0.182,0,0,0
christine.wood@acmecorp.com,contact198@protonmail.com,2024-01-01 07:59:00,0,0,0,25,0,0.12,1,0,0
anthony.wright@acmecorp.com,mark.wright@acmecorp.com,2024-01-01 19:14:00,0,0,0,25,0,0.12,0,0,0
anna.reyes@acmecorp.com,rachel.foster@acmecorp.com,2024-01-01 15:40:00,1,3,0,30,-1,0.3,0,1,1955161
anthony.bennett@acmecorp.com,nicole.brooks@acmecorp.com,2024-01-01 19:37:00,0,0,0,23,0,0.13,0,0,0
ashley.long@acmecorp.com,mark.edwards@acmecorp.com,2024-01-01 19:29:00,0,0,0,23,0,0.13,0,0,0
ashley.thomas@acmecorp.com,eric.harris@acmecorp.com,2024-01-01 19:05:00,0,0,0,29,0,0.103,0,0,0
charles.patel@acmecorp.com,gary.ramirez@acmecorp.com,2024-01-01 09:02:00,0,0,0,21,0,0.143,0,0,0
janet.morales@acmecorp.com,nancy.scott@acmecorp.com,2024-01-01 10:08:00,0,0,0,23,0,0.13,0,0,0
kathleen.smith@acmecorp.com,justin.phillips@acmecorp.com,2024-01-01 18:58:00,0,0,0,19,0,0.158,0,0,0
mark.anderson@acmecorp.com,contact132@gmail.com,2024-01-01 08:43:00,0,0,0,20,0,0.1,1,0,0
steven.robinson@acmecorp.com,mark.anderson@acmecorp.com,2024-01-01 09:51:00,0,0,0,16,0,0.125,0,0,0
steven.robinson@acmecorp.com,donald.taylor@acmecorp.com,2024-01-01 15:40:00,0,0,0,21,0,0.143,0,0,0
kathleen.cruz@acmecorp.com,raymond.parker@acmecorp.com,2024-01-01 07:55:00,0,0,0,25,0,0.12,0,0,0
scott.garcia@acmecorp.com,elizabeth.mendoza@acmecorp.com,2024-01-01 13:10:00,0,0,0,21,0,0.143,0,0,0
angela.hernandez@acmecorp.com,elizabeth.mendoza@acmecorp.com,2024-01-01 17:41:00,0,0,0,21,0,0.143,0,0,0
emma.diaz@acmecorp.com,sharon.rodriguez@acmecorp.com,2024-01-01 09:04:00,0,0,0,20,0,0.15,0,0,0
david.cook@acmecorp.com,contact165@yahoo.com,2024-01-01 17:03:00,0,0,0,23,0,0.13,1,1,2949063
lisa.cox@acmecorp.com,elizabeth.mendoza@acmecorp.com,2024-01-01 14:33:00,0,0,0,23,0,0.13,0,0,0
raymond.parker@acmecorp.com,jennifer.sanders@acmecorp.com,2024-01-01 07:11:00,0,0,0,21,0,0.143,0,0,0
amy.phillips@acmecorp.com,justin.king@acmecorp.com,2024-01-01 20:00:00,0,0,0,23,0,0.13,0,0,0
katherine.cooper@acmecorp.com,gary.williams@acmecorp.com,2024-01-01 11:18:00,0,0,0,29,0,0.103,0,0,0
shirley.cox@acmecorp.com,benjamin.cox@acmecorp.com,2024-01-01 18:23:00,0,0,0,13,0,0.154,0,0,0
