user,employee_name,department,device,plug_time,unplug_time,duration_min,bytes_copied,source_ip
EMP-1098,Kathleen Stewart,Research & Development,USB-2824,2024-01-01 18:03:00,2024-01-01 20:02:00,119,0,10.99.49.236
EMP-1094,Edward Miller,Sales,USB-4811,2024-01-01 18:53:00,2024-01-01 21:26:00,153,0,10.194.128.161
EMP-1017,Christine Wood,Executive,USB-5012,2024-01-01 16:00:00,2024-01-01 18:55:00,175,0,10.31.64.58
EMP-1055,Elizabeth Alvarez,Legal,USB-9279,2024-01-01 08:48:00,2024-01-01 09:55:00,67,0,10.82.229.139
EMP-1074,Laura Williams,Sales,USB-2679,2024-01-01 18:51:00,2024-01-01 19:30:00,39,0,10.178.63.79
EMP-1017,Christine Wood,Executive,USB-5506,2024-01-01 14:16:00,2024-01-01 15:56:00,100,0,10.31.64.58
EMP-1086,Elizabeth Mendoza,IT Security,USB-2535,2024-01-01 16:11:00,2024-01-01 16:20:00,9,0,10.30.140.58
EMP-1016,Shirley Cox,IT Security,USB-5506,2024-01-01 17:37:00,2024-01-01 19:50:00,133,0,10.177.52.183
EMP-1042,Brian Chavez,Finance,USB-9279,2024-01-01 09:03:00,2024-01-01 11:06:00,123,0,10.241.8.30
EMP-1001,Mark Edwards,Engineering,USB-4582,2024-01-01 09:59:00,2024-01-01 12:36:00,157,272838938,10.179.109.88
EMP-1067,Rachel Foster,Executive,USB-9279,2024-01-01 17:46:00,2024-01-01 19:16:00,90,0,10.201.11.89
EMP-1021,Raymond Parker,Engineering,USB-2535,2024-01-01 11:26:00,2024-01-01 12:39:00,73,0,10.222.187.14
EMP-1068,David Cook,Research & Development,USB-9928,2024-01-01 12:59:00,2024-01-01 15:11:00,132,415327461,10.28.111.246
EMP-1078,Sandra Campbell,Research & Development,USB-9928,2024-01-01 08:08:00,2024-01-01 08:13:00,5,0,10.137.33.71
EMP-1047,Brandon Reed,Executive,USB-2535,2024-01-01 09:55:00,2024-01-01 12:21:00,146,248621881,10.78.74.54
EMP-1008,Margaret Wood,Research & Development,USB-4811,2024-01-01 08:25:00,2024-01-01 10:23:00,118,104632065,10.68.36.64
EMP-1070,Sharon Sanders,Operations,USB-1520,2024-01-01 10:12:00,2024-01-01 10:48:00,36,0,10.213.240.23
EMP-1077,Margaret Patel,Executive,USB-4257,2024-01-01 15:25:00,2024-01-01 16:22:00,57,159819094,10.73.252.26
EMP-1007,Dennis Jimenez,Executive,USB-5506,2024-01-01 08:33:00,2024-01-01 10:11:00,98,0,10.103.69.17
EMP-1039,Donald Lee,Marketing,USB-7912,2024-01-01 09:56:00,2024-01-01 11:04:00,68,0,10.189.237.86
EMP-1004,Alexander Rodriguez,Sales,USB-4257,2024-01-01 10:47:00,2024-01-01 11:06:00,19,0,10.253.21.219
EMP-1025,Linda Perez,Legal,USB-4811,2024-01-01 11:10:00,2024-01-01 11:59:00,49,153369826,10.238.201.201
EMP-1071,Ashley Long,Engineering,USB-2824,2024-01-01 13:15:00,2024-01-01 13:21:00,6,336597955,10.8.127.218
EMP-1009,Justin Phillips,Marketing,USB-7912,2024-01-01 12:17:00,2024-01-01 13:55:00,98,0,10.127.24.194
EMP-1001,Mark Edwards,Engineering,USB-7912,2024-01-01 10:00:00,2024-01-01 10:36:00,36,0,10.179.109.88
EMP-1010,Karen Watson,Operations,USB-7873,2024-01-01 14:02:00,2024-01-01 14:29:00,27,256544407,10.17.99.98
EMP-1088,Jessica Reyes,Research & Development,USB-5012,2024-01-02 15:17:00,2024-01-02 17:55:00,158,499752668,10.129.139.127
EMP-1082,Ashley Thomas,Finance,USB-7873,2024-01-02 17:09:00,2024-01-02 18:10:00,61,159426200,10.98.116.233
EMP-1074,Laura Williams,Sales,USB-2535,2024-01-02 15:49:00,2024-01-02 18:06:00,137,0,10.178.63.79
EMP-1082,Ashley Thomas,Finance,USB-1434,2024-01-02 17:11:00,2024-01-02 18:13:00,62,0,10.98.116.233
EMP-1076,Steven Robinson,IT Security,USB-9279,2024-01-02 09:54:00,2024-01-02 11:43:00,109,0,10.31.191.138
EMP-1032,Thomas Hall,Finance,USB-4582,2024-01-02 14:48:00,2024-01-02 15:44:00,56,437973519,10.41.113.214
EMP-1030,Anthony Bennett,Operations,USB-7873,2024-01-02 18:07:00,2024-01-02 20:14:00,127,0,10.34.172.166
EMP-1094,Edward Miller,Sales,USB-4657,2024-01-02 16:25:00,2024-01-02 17:30:00,65,475083048,10.194.128.161
EMP-1058,Kathleen Smith,Research & Development,USB-7873,2024-01-02 18:23:00,2024-01-02 20:36:00,133,485505320,10.138.192.189
EMP-1063,Brian Lewis,Human Resources,USB-4657,2024-01-03 09:41:00,2024-01-03 12:27:00,166,54866784,10.244.64.52
EMP-1097,Mark Anderson,Executive,USB-1434,2024-01-03 18:07:00,2024-01-03 20:52:00,165,159741394,10.239.184.75
EMP-1056,Karen Robinson,IT Security,USB-4811,2024-01-03 14:29:00,2024-01-03 16:03:00,94,0,10.55.17.107
EMP-1068,David Cook,Research & Development,USB-5012,2024-01-03 18:51:00,2024-01-03 19:44:00,53,1656848,10.28.111.246
EMP-1090,Maria Gray,Operations,USB-1520,2024-01-03 08:30:00,2024-01-03 10:43:00,133,0,10.121.133.167
EMP-1097,Mark Anderson,Executive,USB-4582,2024-01-03 16:22:00,2024-01-03 18:47:00,145,235291191,10.239.184.75
EMP-1022,Stephanie Sanders,Finance,USB-4811,2024-01-03 09:26:00,2024-01-03 12:26:00,180,0,10.49.138.115
EMP-1037,Melissa Howard,Executive,USB-4257,2024-01-03 17:04:00,2024-01-03 17:24:00,20,0,10.11.79.94
EMP-1031,Kenneth Long,Engineering,USB-3286,2024-01-03 17:53:00,2024-01-03 18:27:00,34,0,10.145.26.19
EMP-1088,Jessica Reyes,Research & Development,USB-9279,2024-01-03 14:20:00,2024-01-03 15:46:00,86,0,10.129.139.127
EMP-1066,Pamela Gray,IT Security,USB-4582,2024-01-03 15:09:00,2024-01-03 18:00:00,171,0,10.152.177.213
EMP-1026,Jason Hughes,IT Security,USB-3286,2024-01-03 08:28:00,2024-01-03 09:49:00,81,127092352,10.49.76.56
EMP-1006,Nicole Brooks,IT Security,USB-1520,2024-01-03 09:49:00,2024-01-03 11:58:00,129,396742037,10.119.98.70
EMP-1011,Stephen Johnson,Engineering,USB-2824,2024-01-03 15:54:00,2024-01-03 18:42:00,168,0,10.197.165.88
EMP-1087,Christopher Martinez,Executive,USB-3286,2024-01-04 10:59:00,2024-01-04 13:30:00,151,0,10.192.212.146
